subset,numero,giocatore,squadra
Hot Rookies,6,Hojlund Rasmus,Atalanta BC
Base,36,Pasalic Mario,Atalanta BC
Next Up,5,Zalewski Nicola,AS Roma
Base,73,Dumfries Denzel,FC Internazionale Milano
Hot Rookies,3,Cabral Arthur,ACF Fiorentina
Base,57,Ghiglione Paolo,US Cremonese
Score Team,8,Ibanez Roger,AS Roma
Base,187,Coulibaly Lassana,US Salernitana
Base,193,Frattesi Davide,US Sassuolo Calcio
Base,89,Montipo Lorenzo,Hellas Verona FC
Breakthrough,7,Krunic Rade,AC Milan
Next Up,1,De Ketelaere Charles,AC Milan
Score Signatures,28,Musso Juan,Atalanta BC
Base,40,Koopmeiners Teun,Atalanta BC
Base,42,Vignato Emanuel,Bologna FC
Base,198,Lauriente Armand,US Sassuolo Calcio
Base,178,Silvestri Marco,Udinese Calcio
Captain,9,Fazio Federico,US Salernitana
Intergalactic,11,Vlahovic Dusan,Juventus
Score Team,30,Berardi Domenico,US Sassuolo Calcio
Hot Rookies,12,Fagioli Nicolo,Juventus
Game Face,7,Bastoni Alessandro,FC Internazionale Milano
Base,32,(M) Ederson,Atalanta BC
Game Face,2,Tonali Sandro,AC Milan
Base,143,Elmas Eljif,SSC Napoli
Next Up,6,Scalvini Giorgio,Atalanta BC
Breakthrough,30,Thorstvedt Kristian,US Sassuolo Calcio
Score Signatures,33,Bonucci Leonardo,Juventus
Next Up,19,Udogie Destiny,Udinese Calcio
Base,155,Radonjic Nemanja,Torino FC
Score Signatures,29,Calhanoglu Hakan,FC Internazionale Milano
Score Team,28,Dia Boulaye,US Salernitana
Intergalactic,13,Locatelli Manuel,Juventus
Next Up,4,Afena-Gyan Felix,US Cremonese
All Hands Team,5,Szczesny Wojciech,Juventus
Base,124,Gyasi Emmanuel,Spezia Calcio
All Hands Team,1,Maignan Mike,AC Milan
Base,12,Cabral Arthur,ACF Fiorentina
Hot Rookies,17,Zima David,Torino FC
Base,93,Vlahovic Dusan,Juventus
Base,149,Zielinski Piotr,SSC Napoli
Game Face,17,Zielinski Piotr,SSC Napoli
Base,21,Cristante Bryan,AS Roma
Hot Rookies,20,Lauriente Armand,US Sassuolo Calcio
Base,199,Thorstvedt Kristian,US Sassuolo Calcio
Score Team,26,Zielinski Piotr,SSC Napoli
Base,161,Candreva Antonio,US Salernitana
Intergalactic,18,Dia Boulaye,US Salernitana
Score Signatures,30,Barak Antonin,ACF Fiorentina
Base,131,Romagnoli Alessio,SS Lazio
Base,138,Cancellieri Matteo,SS Lazio
Base,110,Falcone Wladimiro,US Lecce
Score Team,27,Osimhen Victor,SSC Napoli
Hot Rookies,15,Cancellieri Matteo,SS Lazio
Base,71,Bastoni Alessandro,FC Internazionale Milano
Base,35,Musso Juan,Atalanta BC
Base,48,Dominguez Nicolas,Bologna FC
Base,50,Soriano Roberto,Bologna FC
Score Team,5,Cristante Bryan,AS Roma
Breakthrough,6,Afena-Gyan Felix,US Cremonese
Base,43,Schouten Jerdy,Bologna FC
Score Signatures,34,Alvarez Agustin,US Sassuolo Calcio
Base,14,Dodo,ACF Fiorentina
Score Signatures,31,Rabiot Adrien,Juventus
Score Team,3,Gonzalez Nicolas,ACF Fiorentina
Base,91,Di Maria Angel,Juventus
Base,79,Gosens Robin,FC Internazionale Milano
Breakthrough,16,Rovella Nicolo,AC Monza
Intergalactic,14,Immobile Ciro,SS Lazio
Base,101,Blin Alexis,US Lecce
Base,87,Doig Josh,Hellas Verona FC
Base,121,Verde Daniele,Spezia Calcio
Intergalactic,19,Berardi Domenico,US Sassuolo Calcio
Base,82,Barak Antonin,ACF Fiorentina
Base,9,Tonali Sandro,AC Milan
Base,111,Di Gregorio Michele,AC Monza
Base,159,Milinkovic-Savic Vanja,Torino FC
Base,24,Spinazzola Leonardo,AS Roma
Intergalactic,4,Hernandez Theo,AC Milan
Score Signatures,37,Romagnoli Alessio,SS Lazio
Intergalactic,12,McKennie Weston,Juventus
Score Signatures,38,Koopmeiners Teun,Atalanta BC
Base,179,Pereyra Roberto,Udinese Calcio
Score Signatures,10,Bergomi Giuseppe,FC Internazionale Milano
Score Signatures,16,Marquez Rafael,Hellas Verona FC
Intergalactic,3,Tonali Sandro,AC Milan
Score Signatures,22,Giroud Olivier,AC Milan
All Hands Team,9,Milinkovic-Savic Vanja,Torino FC
Base,7,Kalulu Pierre,AC Milan
Score Signatures,20,Saelemaekers Alexis,AC Milan
Score Signatures,2,Kaka,AC Milan
Base,15,Igor,ACF Fiorentina
Base,166,Yepes Gerard,UC Sampdoria
Base,113,Colpani Andrea,AC Monza
Base,140,Milinkovic-Savic Sergej,SS Lazio
Base,62,Bandinelli Filippo,Empoli FC
Base,16,Ikone Jonathan,ACF Fiorentina
Score Signatures,7,Toni Luca,ACF Fiorentina
Score Signatures,14,Ince Paul,FC Internazionale Milano
Base,147,Kvaratskhelia Khvicha,SSC Napoli
Base,20,Mandragora Rolando,ACF Fiorentina
Score Signatures,1,Pirlo Andrea,AC Milan
Base,167,Gabbiadini Manolo,UC Sampdoria
Base,25,Pellegrini Lorenzo,AS Roma
Hot Rookies,5,Zalewski Nicola,AS Roma
Base,176,Bijol Jaka,Udinese Calcio
Base,107,Colombo Lorenzo,US Lecce
Game Face,6,Dybala Paulo,AS Roma
Base,171,Beto,Udinese Calcio
Score Team,12,Arnautovic Marko,Bologna FC
Base,6,Maignan Mike,AC Milan
Base,13,Biraghi Cristiano,ACF Fiorentina
Hot Rookies,19,Alvarez Agustin,US Sassuolo Calcio
Score Signatures,15,Carlos Roberto,FC Internazionale Milano
Game Face,13,Bremer Gleison,Juventus
Base,41,Cambiaso Andrea,Bologna FC
Base,23,Mancini Gianluca,AS Roma
Breakthrough,21,Lozano Hirving,SSC Napoli
Base,28,Dybala Paulo,AS Roma
Base,72,Onana Andre,FC Internazionale Milano
Base,114,Augusto Carlos,AC Monza
Base,97,Bonucci Leonardo,Juventus
Base,118,Pessina Matteo,AC Monza
Base,3,Tomori Fikayo,AC Milan
Score Signatures,11,Podolski Lukas,FC Internazionale Milano
Base,80,Lukaku Romelu,FC Internazionale Milano
Base,86,Ilic Ivan,Hellas Verona FC
Base,150,Osimhen Victor,SSC Napoli
Score Signatures,5,Maldini Paolo,AC Milan
Game Face,8,Dumfries Denzel,FC Internazionale Milano
